canonical,key_without_year,designation,prefix,number,part,section,year,title,division,section_name,committee,status,product_category,scheme,amendments,superseded_by_text,sources,archive_identifier,archive_url,license_url,text_path,pdf_path,has_full_text,is_compulsory,is_current,superseded_by
IS|1|None|None|1968|None,IS|1|None|None,IS 1:1968,IS,1,,,1968,IS 1: Specification for The National Flag of India (Cotton Khadi),</b> Textiles<br /><b>,</b> Handloom and Khadi (TXD 8)<br /><br /><b>,TXD 8,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.1.1968,https://archive.org/details/gov.in.is.1.1968,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.1.1968.txt,,True,False,True,
IS|10|1|None|1990|None,IS|10|1|None,IS 10 (Part 1):1990,IS,10,1.0,,1990,IS 10-1: Plywood Tea-Chests: Part-1 General,</b> Civil Engineering<br /><b>,</b> Timber and Timber Stores (CED 9)<br /><br /><b>,CED 9,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10.1.1990,https://archive.org/details/gov.in.is.10.1.1990,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10.1.1990.txt,,True,False,True,
IS|10|2|None|1996|None,IS|10|2|None,IS 10 (Part 2):1996,IS,10,2.0,,1996,IS 10-2: Plywood Tea-Chests: Part-2 Plywood,</b> Civil Engineering<br /><b>,</b> Timber and Timber Stores (CED 9)<br /><br /><b>,CED 9,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10.2.1996,https://archive.org/details/gov.in.is.10.2.1996,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10.2.1996.txt,,True,False,False,IS 10 (Part 2):2013
IS|10|2|None|2013|None,IS|10|2|None,IS 10 (Part 2):2013,IS,10,2.0,,2013,IS 10 : Part 2 : 2013: Plywood Tea-Chests  Part 2 Plywood,,,,published,,,0,,['ARCHIVE_ORG'],gov.in.is.10.2.2013,https://archive.org/details/gov.in.is.10.2.2013,,bis_data\archive\text\gov.in.is.10.2.2013.txt,,True,False,True,
IS|10|3|None|1974|None,IS|10|3|None,IS 10 (Part 3):1974,IS,10,3.0,,1974,IS 10-3: Plywood Tea-Chests: Part-3 Battens,</b> Civil Engineering<br /><b>,</b> Timber and Timber Stores (CED 9)<br /><br /><b>,CED 9,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10.3.1974,https://archive.org/details/gov.in.is.10.3.1974,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10.3.1974.txt,,True,False,True,
IS|10|4|None|1989|None,IS|10|4|None,IS 10 (Part 4):1989,IS,10,4.0,,1989,IS 10-4: Plywood Tea-Chests: Part-4 Metal Fittings,</b> Civil Engineering<br /><b>,</b> Timber and Timber Stores (CED 9)<br /><br /><b>,CED 9,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10.4.1989,https://archive.org/details/gov.in.is.10.4.1989,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10.4.1989.txt,,True,False,True,
IS|10|5|None|1976|None,IS|10|5|None,IS 10 (Part 5):1976,IS,10,5.0,,1976,"IS 10-5: Plywood Tea-Chests, Part 5: Assembly and Packing",</b> Civil Engineering<br /><b>,</b> Timber and Timber Stores (CED 9)<br /><br /><b>,CED 9,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.10.5.1976,https://archive.org/details/gov.in.is.10.5.1976,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.10.5.1976.txt,,True,False,True,
IS|101|1|1|1986|None,IS|101|1|1,IS 101 (Part 1 / Section 1):1986,IS,101,1.0,1.0,1986,"IS 101-1-1: Methods of sampling and test for paints, varnishes and related products, Part 1: Test on liquid paints (general and physical), Section 1: Sampling",</b> Chemical<br /><b>,"</b> Paints, Varnishes and Related Products (CHD 20)<br /><br /><b>",CHD 20,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.101.1.1.1986,https://archive.org/details/gov.in.is.101.1.1.1986,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.101.1.1.1986.txt,,True,False,False,IS 101 (Part 1 / Section 1):2023
IS|101|1|1|2023|None,IS|101|1|1,IS 101 (Part 1 / Section 1):2023,IS,101,1.0,1.0,2023,IS 101 : Part 1 : Sec 1 : 2023: Methods Of Sampling And Test For Paints Varnishes And Related Products : Part 1 Tests On Liquid Paints  General And Physical:Section 1 Sampling,,,,published,,,0,,['ARCHIVE_ORG'],gov.in.is.101.1.1.2023,https://archive.org/details/gov.in.is.101.1.1.2023,,bis_data\archive\text\gov.in.is.101.1.1.2023.txt,,True,False,True,
IS|101|1|2|1987|None,IS|101|1|2,IS 101 (Part 1 / Section 2):1987,IS,101,1.0,2.0,1987,"IS 101-1-2: Methods of sampling and test for paints, varnishes and related products, Part 1: Test on liquid paints (general and physical), Section 2: Preliminary examination and preparation of samples for testing",</b> Chemical<br /><b>,"</b> Paints, Varnishes and Related Products (CHD 20)<br /><br /><b>",CHD 20,published,,,0,</b> <br /><br /><br /><b>LEGALLY BINDING DOCUMENT</b><br /><br /><i>Step Out From the Old to the New</i>--Jawaharlal Nehru<br /><i>Invent a new India using knowledge.</i>--Satyanarayan Gangaram Pitroda,['ARCHIVE_ORG'],gov.in.is.101.1.2.1987,https://archive.org/details/gov.in.is.101.1.2.1987,http://creativecommons.org/publicdomain/zero/1.0/,bis_data\archive\text\gov.in.is.101.1.2.1987.txt,,True,False,True,
